id,title,uses_gutenberg,uses_kadence,uploads_count,plugins_count,broken_uploads,broken_plugins
5716,News and Press Releases | Pool Safe Inc. and LounGenie,True,False,54,0,0,0
5686,Financials and Filings | Pool Safe Inc. (TSXV: POOL),True,False,80,0,0,0
5668,Investor Relations | Pool Safe Inc. (TSXV: POOL),True,False,2,0,0,0
5651,Board of Directors | Pool Safe Inc. and LounGenie Leadership,True,False,6,0,0,0
5285,"LounGenie Videos | Product Demos, Resort &#038; Waterpark Installations",True,False,3,0,0,0
5223,"LounGenie Gallery | Cabana, Daybed &#038; Waterpark Installation Photos",False,True,0,0,0,0
5139,Contact LounGenie | Request a Demo for Your Property,True,False,2,0,0,0
4862,About LounGenie | Hospitality Technology for Premium Seating,True,False,1,0,0,0
4701,"LounGenie Smart Cabana System for Hotels, Resorts and Waterparks",True,False,0,0,0,0
2989,"LounGenie Features | QR Ordering, Safe, Charging and Guest Amenities",True,False,8,0,0,0
